,hexcode,decimal,Unicode name,CLDR English name,major shortname,localsrc, char
1f50b,128267,battery, , ,battery,🔋
1f50c,128268,electric plug, , ,plug,🔌
1f50d,128269,leftpointing magnifying glass, , ,magnifyglass,🔍
1f50e,128270,rightpointing magnifying glass, , ,view,🔎
1f50f,128271,lock with ink pen, , ,personal,🔏
1f510,128272,closed lock with key, , ,lockcertificate,🔐
1f511,128273,key, , ,key,🔑
1f512,128274,lock, , ,lockkey,🔒
1f513,128275,open lock, , ,,🔓
1f514,128276,bell, , ,bell,🔔
1f516,128278,bookmark, , ,bookmarks,🔖
1f517,128279,link symbol, , ,link,🔗
1f518,128280,radio button, , ,radio,🔘
1f519,128281,back with leftwards arrow above, , ,back,🔙
1f51a,128282,end with leftwards arrow above, , ,,🔚
1f51b,128283,on with exclamation mark with left right arrow, , ,,🔛
1f51c,128284,soon with rightwards arrow above, , ,,🔜
1f51d,128285,top with upwards arrow above, , ,,🔝
1f51e,128286,no one under eighteen symbol, , ,prohibition,🔞
1f51f,128287,keycap ten, , ,10square,🔟
1f520,128288,input symbol for latin capital letters, , ,caps,🔠
1f521,128289,input symbol for latin small letters, , ,lower,🔡
1f522,128290,input symbol for numbers, , ,numbers,🔢
1f523,128291,input symbol for symbols, , ,symbols,🔣
1f524,128292,input symbol for latin letters, , ,abc,🔤
1f525,128293,fire, , ,fire,🔥
1f526,128294,electric torch, , ,flashlight,🔦
1f527,128295,wrench, , ,wrench,🔧
1f528,128296,hammer, , ,hammer,🔨
1f529,128297,nut and bolt, , ,boltnut,🔩
1f52a,128298,hocho, , ,knife,🔪
1f52b,128299,pistol, , ,action,🔫
1f52e,128302,crystal ball, , ,fortunetelling,🔮
1f52f,128303,six pointed star with middle dot, , ,,🔯
1f530,128304,japanese symbol for beginner, , ,youngleaf,🔰
1f531,128305,trident emblem, , ,,🔱
1f532,128306,black square button, , ,,🔲
1f533,128307,white square button, , ,,🔳
1f534,128308,large red circle, , ,bigcircle1,🔴
1f535,128309,large blue circle, , ,bigcircle2,🔵
1f536,128310,large orange diamond, , ,bigdiamond1,🔶
1f537,128311,large blue diamond, , ,bigdiamond2,🔷
1f538,128312,small orange diamond, , ,littlediamond1,🔸
1f539,128313,small blue diamond, , ,littlediamond2,🔹
1f53a,128314,uppointing red triangle, , ,uptri3,🔺
1f53b,128315,downpointing red triangle, , ,downtri3,🔻
1f53c,128316,uppointing small red triangle, , ,uptri1,🔼
1f53d,128317,downpointing small red triangle, , ,downtri1,🔽
1f550,128336,clock face one oclock, , ,,🕐
1f551,128337,clock face two oclock, , ,,🕑
1f552,128338,clock face three oclock, , ,,🕒
1f553,128339,clock face four oclock, , ,,🕓
